year,region,area,age_group,sex,value,unit,source
2545,ทั่วประเทศ,รวม,60-64 ปี,รวม,2073244,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,60-64 ปี,รวม,651363,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,60-64 ปี,รวม,1421881,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,60-64 ปี,รวม,226665,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-64 ปี,รวม,510948,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,60-64 ปี,รวม,413014,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,60-64 ปี,รวม,664265,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,60-64 ปี,รวม,258352,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,65-69 ปี,รวม,1668666,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,65-69 ปี,รวม,516741,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,นอกเขตเทศบาล,65-69 ปี,รวม,1151925,คน,สำนักงานสถิติแห่งชาติ
2545,กรุงเทพมหานคร,ในเขตเทศบาล,65-69 ปี,รวม,173941,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,65-69 ปี,รวม,423653,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคเหนือ,รวม,65-69 ปี,รวม,359204,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคตะวันออกเฉียงเหนือ,รวม,65-69 ปี,รวม,505767,คน,สำนักงานสถิติแห่งชาติ
2545,ภาคใต้,รวม,65-69 ปี,รวม,206101,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,รวม,70-74 ปี,รวม,1101189,คน,สำนักงานสถิติแห่งชาติ
2545,ทั่วประเทศ,ในเขตเทศบาล,70-74 ปี,รวม,327015,คน,สำนักงานสถิติแห่งชาติ
